catalog: 156 frames, 116 images (20 colour)
building 156 frames with 1 job(s)
id           seed      detected     delta  period96  jit96  noise  alt96    trace0  qual   comp  dot    peak    KiB     s
R020     50655292    50652130.9   -3161.1   798.960   1.05   0.04   -1.6  1999.748  0.97   76.4   no  0.4403    497   0.3
R021     52835618    52832462.2   -3155.8   798.940   1.20   0.05   -1.6  2000.107  0.93   93.8   no  0.4223    527   0.2
R022     55058940    55055738.6   -3201.4   798.902   1.18   0.05   -1.6  1999.668  0.89   51.9  yes  0.4274    516   0.2
R023     57304974    57301820.4   -3153.6   798.808   1.19   0.05   -1.6  1999.600  0.96   79.0  yes  0.3041    521   0.2
R024     59510392    59507230.2   -3161.8   798.833   1.13   0.04   -1.6  1999.558  0.94   86.2  yes  0.3539    555   0.2
R025     61745053    61741857.0   -3196.0   798.853   1.47   0.04   +1.6  2000.018  0.85   79.3   no  0.4140    534   0.2
R026     63989569    63986345.0   -3224.0   798.856   1.88   0.05   -1.6  1999.974  0.81   87.5   no  0.3557    543   0.2
R027     66161060    66157815.7   -3244.3   798.792   4.05   0.05   -1.6  1999.958  0.78   81.5  yes  0.3919    495   0.3
R028     68339073    68335910.8   -3162.2   798.827   1.08   0.04   -1.6  2000.477  0.91   90.0  yes  0.3221    533   0.2
R029     70653342    70650187.0   -3155.0   798.836   2.06   0.07   -1.6  2000.248  0.88   84.5  yes  0.3812    505   0.3
R030     72829823    72826620.0   -3203.0   798.818   1.46   0.31   -1.6  2000.261  0.90   85.9  yes  0.4046    516   0.2
R031     75080249    75077046.9   -3202.1   798.786   1.20   0.04   -1.7  2000.483  0.84   85.3   no  0.4331    533   0.2
R032     77282237    77279019.8   -3217.2   798.811   1.16   0.04   -1.6  1999.705  0.88   86.1   no  0.4442    517   0.2
R033     79470832    79467618.3   -3213.7   798.788   1.24   0.04   -1.6  1999.618  0.93   78.8  yes  0.4191    503   0.2
R034     81632703    81629492.4   -3210.6   798.789   1.19   0.04   -1.6  2000.362  0.93   88.9   no  0.4541    518   0.2
R035     83797423    83794218.9   -3204.1   798.796   1.06   0.04   -1.6  2000.001  0.85   90.8   no  0.4266    544   0.2
R036     85981160    85977965.5   -3194.5   798.778   1.87   0.13   -1.6  2000.329  0.88   79.2   no  0.3331    550   0.2
R037     88183995    88180775.9   -3219.1   798.789   1.43   0.04   -1.6  2000.247  0.93   84.7   no  0.4141    528   0.2
R038     90371829    90368687.1   -3141.9   798.769   2.23   0.04   -1.6  1999.503  0.91   91.1  yes  0.3155    555   0.2
R039     92625391    92622186.5   -3204.5   798.737   1.19   0.04   -1.6  1999.876  0.94   91.2  yes  0.4073    516   0.2
R040     94800806    94797584.6   -3221.4   798.728   3.45   0.04   -1.6  1999.665  0.81   81.0   no  0.4104    536   0.2
R041     96981356    96978154.3   -3201.7   798.716   1.58   0.04   -1.6  1999.573  0.79   59.9   no  0.3495    535   0.2
R042     99211425    99208219.3   -3205.7   798.729   1.40   0.04   -1.7  1999.559  0.81   74.0  yes  0.3749    515   0.2
R043    101344645   101341435.6   -3209.4   798.671   2.18   0.15   -1.6  1999.695  0.91   85.0  yes  0.4213    521   0.2
R044    103602314   103599118.4   -3195.6   798.702   1.68   0.11   -1.6  2000.070  0.92   90.5   no  0.4153    535   0.2
R045    105728031   105724872.9   -3158.1   798.709   1.30   0.05   -1.6  2000.464  0.96   95.2  yes  0.4034    531   0.2
R046    107935592   107932392.5   -3199.5   798.683   1.55   0.04   -1.6  2000.151  0.93   76.2  yes  0.4178    518   0.2
R047    110167591   110164385.8   -3205.2   798.669   1.11   0.04   -1.6  1999.705  0.90   70.7  yes  0.4198    519   0.2
R048    112409969   112406807.1   -3161.9   798.663   1.53   0.04   -1.6  1999.572  0.93   69.3  yes  0.3356    522   0.2
R049    114664050   114660850.1   -3199.9   798.634   1.06   0.05   -1.6  2000.008  0.93   76.0  yes  0.3895    500   0.2
R050    116902472   116899263.1   -3208.9   798.632   1.10   0.04   -1.6  1999.795  0.95   66.0  yes  0.4409    500   0.2
R051    119209232   119206067.5   -3164.6   798.626   1.19   0.04   -1.6  1999.870  0.88   88.3   no  0.4071    527   0.2
R052    121420140   121416928.7   -3211.3   798.641   1.22   0.10   -1.6  2000.202  0.91   92.2   no  0.3809    553   0.2
R053    123683834   123680676.1   -3157.9   798.619   1.23   0.04   -1.6  1999.533  0.89   92.3   no  0.4104    541   0.2
R054    125970093   125966935.5   -3157.5   798.561   1.25   0.04   -1.6  1999.606  0.87   90.6  yes  0.4486    518   0.2
R055    128152296   128149075.8   -3220.2   798.563   1.43   0.03   -1.6  1999.987  0.85   89.2   no  0.3340    532   0.2
R056    130242769   130239599.6   -3169.4   798.572   1.33   0.04   -1.6  1999.686  0.95   73.6  yes  0.4130    507   0.2
R057    132459619   132456461.7   -3157.3   798.545   1.19   0.04   -1.6  1999.691  0.96   90.5  yes  0.4107    501   0.3
R058    134681995   134678841.8   -3153.2   798.552   1.09   0.04   -1.6  1999.677  0.91   89.7   no  0.4059    552   0.2
R059    136893398   136890218.0   -3180.0   798.544   2.30   0.04   -1.6  2000.019  0.83   85.0  yes  0.3752    536   0.2
R060    139076027   139072867.4   -3159.6   798.519   1.26   0.04   -1.6  2000.102  0.95   44.6  yes  0.3776    509   0.2
R061    141253978   141250817.1   -3160.9   798.526   1.22   0.04   -1.6  1999.791  0.96   93.2  yes  0.3747    518   0.2
R062    143451591   143448434.6   -3156.4   798.524   1.17   0.04   -1.6  1999.883  0.92   74.3  yes  0.3270    515   0.3
R063    145732994   145729837.9   -3156.1   798.535   1.33   0.04   -1.6  1999.978  0.96   85.6  yes  0.3612    514   0.3
R064    147973714   147970507.0   -3207.0   798.492   1.12   0.04   -1.6  2000.247  0.89   96.2   no  0.4246    549   0.2
R065    150181879   150178720.3   -3158.7   798.486   1.16   0.05   -1.6  2000.318  0.96   80.7  yes  0.4170    517   0.2
R066    152395129   152391928.5   -3200.5   798.475   1.55   0.04   -1.6  1999.899  0.93   56.9   no  0.3768    537   0.2
R067    154661135   154657947.7   -3187.3   798.436   1.93   0.04   -1.6  2000.158  0.90   86.1  yes  0.4006    501   0.3
R068    156922696   156919551.3   -3144.7   798.444   1.25   0.04   -1.6  1999.802  0.90   78.7  yes  0.4166    525   0.2
R069    159286101   159282948.0   -3153.0   798.416   2.86   0.04   -1.6  1999.793  0.85   80.4   no  0.4297    515   0.2
R070    161513345   161510194.5   -3150.5   798.386   1.57   0.04   -1.6  2000.378  0.88   78.9   no  0.3938    514   0.3
R071    163950703   163947504.3   -3198.7   798.391   1.49   0.04   -1.6  2000.307  0.86   78.2  yes  0.4217    501   0.2
R072    166117409   166114253.3   -3155.7   798.391   1.18   0.04   -1.6  2000.066  0.96   96.1  yes  0.4178    497   0.2
R073    168312560   168309412.6   -3147.4   798.355   1.33   0.04   -1.6  2000.136  0.96   98.1   no  0.4173    528   0.2
R074    170582063   170578872.4   -3190.6   798.323   2.09   0.04   -1.6  2000.292  0.81   96.2   no  0.4191    501   0.3
R075    172735515   172732340.9   -3174.1   798.314   2.36   0.04   -1.6  2000.513  0.84   68.3  yes  0.4119    482   0.3
R076    174907808   174904613.2   -3194.8   798.319   1.50   0.04   -1.6  2000.270  0.84   86.3   no  0.4314    515   0.2
R077    177084886   177081680.6   -3205.4   798.338   2.39   0.05   -1.6  1999.692  0.86   77.8  yes  0.4359    513   0.2
low-confidence timebase (measurement noise > 5.0 samples at 96 kHz): 1 frames L032

frames ok 156   failed 0
detected - Barry seed, in 384 kHz samples (1 line = 3197.4):
    signed: mean  -3182.0   sd    27.0   min  -3244.3   max  -3116.7
    |delta|: median  3189.8   max  3244.3   rms  3182.1   (99.8% of a line)
    after removing the median offset (i.e. Barry's hand-tuning scatter):
        median    22.1   max    73.1   rms    28.1
        <=    8 samples:  24/156  (15%)
        <=   50 samples: 150/156  (96%)
        <=  200 samples: 156/156  (100%)
        <=  800 samples: 156/156  (100%)
        <= 1599 samples: 156/156  (100%)
odd/even trace alternation (Barry's hardcoded fudge): median 1.6, max 17.8 samples at 96 kHz
fitted line period x4: mean 3195.088  sd 1.107  min 3193.095  max 3197.822  (nominal 3197.4)
trace 0 lands at leadIn +- 0.52 samples (96 kHz) worst case over the 155 confident frames, 2.58 including the 1 flagged
