catalog: 156 frames, 116 images (20 colour)
building 156 frames with 2 job(s)
id           seed      detected     delta  period96  jit96  noise  alt96    trace0  qual    peak    KiB     s
R026     63989569    63989402.2    -166.8   798.855   1.77   0.68   +1.2  2000.057  0.90  0.3557    543   0.3
R027     66161060    66160873.4    -186.6   798.791   4.86   2.75   +2.4  2002.265  0.89  0.3919    495   0.6
R028     68339073    68338960.1    -112.9   798.827   0.84   0.62   +0.9  1999.623  0.97  0.2776    544   0.6
R029     70653342    70653232.8    -109.2   798.837   2.03   0.66   +1.0  1999.595  0.94  0.3812    504   0.6
R030     72829823    72829670.5    -152.5   798.818   1.30   0.77   +1.3  2000.799  0.93  0.4046    515   0.3
R031     75080249    75080100.1    -148.9   798.786   0.98   0.61   +0.9  1999.483  0.93  0.4331    533   0.3
R032     77282237    77282068.0    -169.0   798.811   0.93   0.56   +0.8  1999.597  0.97  0.3612    531   0.5
R033     79470832    79470651.5    -180.5   798.788   1.06   0.68   +1.0  1999.607  0.97  0.4060    505   0.6
R034     81632703    81632534.4    -168.6   798.789   0.98   0.62   +0.9  2000.604  0.97  0.4210    523   0.6
R035     83797423    83797261.9    -161.1   798.795   0.83   0.58   +0.9  1999.540  0.97  0.4266    544   0.4
R036     85981160    85981007.2    -152.8   798.778   1.74   0.76   +0.9  1999.667  0.90  0.3110    555   0.3
R037     88183995    88183802.2    -192.8   798.789   1.26   0.62   +1.0  2000.561  0.90  0.4141    528   0.3
R038     90371829    90371461.3    -367.7   798.769   2.15   0.66   +1.0  2063.837  0.94  0.2747    565   0.5
R039 !   92625391    92626673.1   +1282.1   798.711  18.43  11.68   -0.6  1999.768  0.74  0.4073    515   0.3
R040     94800806    94800620.3    -185.7   798.728   3.34   0.48   +0.4  1999.194  0.90  0.4104    536   0.3
R041     96981356    96981202.2    -153.8   798.716   1.48   0.65   +1.1  2000.236  0.95  0.3495    535   0.2
R042     99211425    99211271.8    -153.2   798.729   1.32   0.81   +1.4  1999.391  0.96  0.3749    514   0.2
R043    101344645   101344464.4    -180.6   798.671   2.04   0.52   +0.6  2000.567  0.87  0.2957    547   0.3
R044 !  103602314   103603291.2    +977.1   798.686   7.79   6.93   +0.7  1721.715  0.92  0.3153    554   0.3
R045    105728031   105727925.6    -105.4   798.708   1.16   0.69   +1.2  1999.380  0.95  0.4034    530   0.2
R046    107935592   107935429.2    -162.8   798.683   1.40   0.62   +0.9  1999.991  0.96  0.4178    518   0.6
R047    110167591   110167425.5    -165.5   798.669   0.88   0.58   +0.9  1999.271  0.97  0.3572    530   0.5
R048    112409969   112409852.0    -117.0   798.663   1.44   0.73   +1.3  2000.550  0.95  0.2714    538   0.4
R049    114664050   114663896.4    -153.6   798.634   0.78   0.58   +0.8  1999.239  0.97  0.3895    500   0.4
R050    116902472   116902310.5    -161.5   798.632   0.84   0.60   +0.8  1999.200  0.97  0.4409    499   0.2
